School unit name,Elementary school cases,Middle school cases,High school cases,Gender,Reporting date
Scoala,10,10,10,M,11-13-21
Donec Ltd,17,10,86,M,08-11-21
Erat Vel Pede Inc.,41,80,79,F,07-27-20
Sollicitudin Adipiscing Corporation,36,90,10,F,02-13-22
Eu Corp.,6,93,24,F,09-30-20
Est Limited,64,15,97,F,12-20-21
Phasellus At Augue Company,87,92,19,F,12-17-20
Nullam Vitae Diam Industries,26,17,81,F,09-28-21
Odio Phasellus LLP,10,26,40,M,06-17-20
Turpis Nulla Foundation,65,77,57,M,02-22-21
Libero LLC,42,27,17,F,07-10-20
Nulla Magna Corp.,4,24,32,M,05-13-20
Vestibulum Lorem Sit Incorporated,8,2,57,M,02-14-22
Eu Ltd,35,26,66,F,01-23-21
Amet Risus Donec Ltd,29,77,13,M,06-29-20
Dictum Incorporated,70,84,91,M,05-04-21
Lacus Etiam Inc.,61,46,43,M,11-17-21
Non Enim Inc.,76,2,90,M,10-16-21
Nam Nulla Magna Industries,4,39,27,M,01-08-22
A Nunc Inc.,1,65,26,M,03-21-22
Fusce Inc.,20,33,43,M,08-19-20
Accumsan Interdum Inc.,3,97,52,M,09-29-21
Luctus Felis Industries,36,4,11,F,04-18-21
Enim Curabitur Massa LLP,70,21,79,F,04-18-21
Ultrices LLP,30,39,12,F,03-03-21
A Dui Corp.,47,49,91,F,08-01-21
Arcu Aliquam Ultrices Incorporated,32,97,64,M,10-23-20
In Dolor Company,85,2,60,F,05-20-21
Justo Incorporated,21,7,68,F,01-22-22
Enim Condimentum LLC,53,1,27,M,10-08-21
Nisl Maecenas Inc.,32,90,50,M,03-01-22
Tempor Foundation,92,98,1,M,03-31-21
Vel Consulting,49,57,54,F,08-16-20
Orci Corporation,48,41,36,F,09-27-20
Mollis Duis Corporation,16,25,85,M,07-26-20
Feugiat Nec Corp.,63,35,6,M,04-07-22
Donec Tincidunt LLC,38,89,95,F,10-19-20
Condimentum Eget Volutpat Associates,81,35,32,M,10-24-21
Rhoncus Institute,45,1,40,M,10-24-21
Et Corp.,6,86,21,F,12-12-21
Malesuada Industries,50,91,85,F,08-11-20
Feugiat Incorporated,72,62,22,M,01-16-22
Non Bibendum Incorporated,50,28,66,M,06-06-21
Blandit Viverra Incorporated,47,29,91,F,10-28-21
Lorem Ipsum Dolor Industries,4,16,90,M,09-08-21
Justo Proin Limited,24,77,26,M,07-30-21
Libero Consulting,40,98,53,M,10-01-21
Sit Amet Dapibus LLC,11,25,74,M,10-11-21
Ut Industries,28,6,58,F,03-31-21
Eros Limited,2,66,99,F,01-02-22
